section,group,budget_line,proposed_2026_27,budget_2025_26_structure,budget_note,comparable_actual_line,actual_2023_24,budget_2023_24,actual_2024_25,budget_2024_25,variance_2024_25,actuals_comment
Income,Merchandise - Income,BoosterHub Merch - Income,,0.0,,,,,,,,
Income,Merchandise - Income,Family Show Shirts - Income,,2000.0,,1640 · Show Shirt Fees Collected-Adult,2340.0,2500.0,1946.49,2300.0,-353.51,
Income,Merchandise - Income,Transaction Fees - Income,,0.0,,,,,,,,
Income,Merchandise - Income,Transaction Fees - Income,,0.0,,,,,,,,
Income,Merchandise - Income,Credit Card Fees - Income,,0.0,,,,,,,,
Income,Merchandise - Income,Uncategorized Store Transactions - Income,,0.0,,,,,,,,
Income,Merchandise - Income,Total Merchandise,,2000.0,,Total 90000 · APPAREL INCOME,7402.0,11220.0,9007.75,11050.0,-2042.25,
Income,Other Income - Income,Credit Card Rewards - Income,,1000.0,,1610 · Credit Card Rewards,945.63,1000.0,1306.93,1000.0,306.93000000000006,
Income,Other Income - Income,Honor Band/Solo & Ensemble Fees - Income,,600.0,,6010 · MMEA Expenses,0.0,0.0,0.0,0.0,0.0,
Income,Other Income - Income,Interest Income - Income,,0.12,,,,,,,,
Income,Other Income - Income,Raise Right - Boosters Income - Income,,0.0,,1600 · Scrip Card Income - Boosters,1257.73,550.0,1283.47,0.0,1283.47,
Income,Other Income - Income,Raise Right - Student Income - Income,,0.0,,1601 · Scrip Card Income - Students,5464.96,1400.0,5138.86,0.0,5138.86,
Income,Other Income - Income,Trip Income - Income,,0.0,,,,,,,,
Income,Other Income - Income,Total Other Income,,3040.12,,Total 16000 · OTHER INCOME,31780.14,23000.12,67762.28,35714.12,32048.159999999996,
Income,Other Income - Income,Total Income,,144270.63,,UNMAPPED: Total Income,,,,,,
Income,Programs - Expense,Apparel Expense - Expense,,5120.0,,Total 90001 · APPAREL EXPENSE,11127.28,16335.0,21012.86,20680.0,332.8600000000006,
Income,Programs - Expense,Band Camp - Expense,,0.0,,Total 20000 · BAND CAMP,43716.93,44030.0,38503.23,42460.0,-3956.769999999997,
Income,Programs - Expense,Band Camp Professional Fees - Expense,,27000.0,,UNMAPPED: 2000 · Prof. Fees,,,,,,
Income,Programs - Expense,Band Family BBQ - Expense,,250.0,,,,,,,,
Income,Programs - Expense,Band Instructor/Tech - Expense,,9150.0,,,,,,,,
Income,Programs - Expense,Copyright Fee - Expense,,1500.0,,4621 · Copyright Fee,558.0,650.0,852.8,700.0,152.79999999999995,
Income,Programs - Expense,Guard Instructor/Tech - Expense,,3150.0,,,,,,,,
Income,Programs - Expense,Leadership Shirts - Expense,,950.0,,,,,,,,
Income,Programs - Expense,Miscellaneous Band Camp Expense - Expense,,450.0,,,,,,,,
Income,Programs - Expense,Staff Polo Shirts - Expense,,150.0,,,,,,,,
Income,Programs - Expense,Banquet - Expense,,0.0,,,,,,,,
Income,Programs - Expense,Banquet Decorations and Cake - Expense,,200.0,,,,,,,,
Income,Programs - Expense,Banquet Food Supplies - Expense,,200.0,,7005 · Banquet Food Supplies,0.0,200.0,0.0,200.0,-200.0,
Income,Programs - Expense,Banquet Rental - Expense,,750.0,,,,,,,,
Income,Programs - Expense,Senior Gifts and Flowers - Expense,,1250.0,,,,,,,,
Income,Programs - Expense,Concert Season - Expense,,0.0,,,,,,,,
Income,Programs - Expense,Concert Festival Fees - Expense,,350.0,,6020 · Concert Band Festival Entry Fee,350.0,0.0,0.0,350.0,-350.0,
Income,Programs - Expense,Food for Audition Judges - Expense,,175.0,,8035 · Food for Audition Judges,0.0,175.0,0.0,175.0,-175.0,
Income,Programs - Expense,Formal Wear - Expense,,1900.0,,,,,,,,
Income,Programs - Expense,Jazz Band Festival - Expense,,600.0,,6030 · Jazz Band Festival,395.0,400.0,595.0,400.0,195.0,
Income,Programs - Expense,MSHSAA - Medals - Expense,,600.0,,6015 · MSHSAA - Medals,419.0,600.0,350.0,600.0,-250.0,
Income,Programs - Expense,Tuxedo Coat Cleaning - Expense,,500.0,,6005 · Tuxedo Coat Cleaning,0.0,200.0,0.0,550.0,-550.0,
Income,Programs - Expense,Tuxedo Jackets - Expense,,200.0,,6000 · Tuxedo Jackets Expense,0.0,0.0,380.0,0.0,380.0,
Income,Programs - Expense,Entry Fees/Tickets - Expense,,0.0,,,,,,,,
Income,Programs - Expense,Marching Band - Expense,,0.0,,Total 50000 · MARCHING BAND,28107.7,29902.0,27191.29,23500.0,3691.290000000001,
Income,Programs - Expense,Bands of America Entry Fee and Parking - Expense,,2300.0,,5006 · Bands of America Badges/Parking,420.0,600.0,490.0,500.0,-10.0,
Income,Programs - Expense,Charter Busses - Expense,,8000.0,,5015 · Charter Busses,0.0,0.0,872.85,0.0,872.85,
Income,Programs - Expense,Drum Major Camp - Expense,,1900.0,,8010 · Drum Major Camp,1845.0,1200.0,1875.0,1900.0,-25.0,
Income,Programs - Expense,Fall Color Guard Flags and Design - Expense,,4150.0,,4000 · Flag Silks,9242.68,4075.0,325.0,4100.0,-3775.0,
Income,Programs - Expense,Fall Color Guard Uniforms - Expense,,5500.0,*discuss what $ to give Z Barber as max spend - include in student fees,4000 · Flag Silks,9242.68,4075.0,325.0,4100.0,-3775.0,
Income,Programs - Expense,Food - Marching Competitions - Expense,,3000.0,,5045 · Food - Marching Competitions,1568.59,3000.0,2799.07,3000.0,-200.92999999999984,
Income,Programs - Expense,Marching and Guard Gloves - Expense,,450.0,,,,,,,,
Income,Programs - Expense,Marching Competition Uniforms - Expense,,12640.0,*discuss what $ to give Z Barber as max spend - include in student fees,UNMAPPED: 9022 · Competition Tops,,,,,,
Income,Programs - Expense,Marching Festival Fees - Expense,,650.0,,5000 · Marching Festival Entry Fees,1500.0,1400.0,600.0,1050.0,-450.0,
Income,Programs - Expense,Marching Field Props - Expense,,800.0,,5055 · Marching Field Props,5593.56,3507.0,2219.1,6000.0,-3780.9,
Income,Programs - Expense,Miscellaneous Marching Expense - Expense,,700.0,,,,,,,,
Income,Programs - Expense,Student Leadership Workshop - Expense,,3750.0,,9051 · Student Leadership WKSP Expense,5514.03,0.0,3027.33,3400.0,-372.6700000000001,
Income,Programs - Expense,Student/Staff Show Shirts - Expense,,2000.0,,,,,,,,
Income,Programs - Expense,Trailer Insurance - Expense,,650.0,,,,,,,,
Income,Programs - Expense,Trailer Maintenance - Expense,,2000.0,,5040 · Trailer Maintenance,1837.14,500.0,7217.66,7000.0,217.65999999999985,
Income,Programs - Expense,Trailer Storage - Expense,,1300.0,,5035 · Trailer Storage,1210.0,1350.0,1210.0,1300.0,-90.0,
Income,Programs - Expense,Truck Rental and Fuel - Expense,,3000.0,,5020 · Truck Rental / Fuel,2272.47,3000.0,0.0,0.0,0.0,
Income,Programs - Expense,Uniform Cleaning - Expense,,1000.0,,5065 · Uniform Cleaning,803.0,2100.0,834.0,1200.0,-366.0,
Income,Programs - Expense,Total Programs,,108235.0,,Total 90000 · APPAREL INCOME,7402.0,11220.0,9007.75,11050.0,-2042.25,
Income,Fundraising - Expense,Fundraising Gaming - Expense,,0.0,,,,,,,,Compare against actual fundraiser performance; do not use budget as reality.
Income,Fundraising - Expense,Fundraising Non-gaming - Expense,,10067.78,,,,,,,,Compare against actual fundraiser performance; do not use budget as reality.
Income,Fundraising - Expense,Concessions - Expense,,0.0,,,,,,,,
Income,Fundraising - Expense,Holiday Craft and Music Market - Expense,,0.0,,,,,,,,
Income,Fundraising - Expense,Midwest Marching Percussion Classic - Expense,,0.0,,,,,,,,
Income,Fundraising - Expense,Trivia Night - Expense,,0.0,,,,,,,,
Income,Fundraising - Expense,Total Fundraising,,10067.78,,Total 13000 · FUNDRAISER INCOME,55139.24,77639.66,10488.14,78732.13,-68243.99,Compare against actual fundraiser performance; do not use budget as reality.
Income,Merchandise COGS - Expense,BoosterHub Merch - Expense,,0.0,,,,,,,,
Income,Merchandise COGS - Expense,Family Show Shirts - Expense,,2000.0,,,,,,,,
Income,Merchandise COGS - Expense,Total Merchandise COGS,,2000.0,,,,,,,,
Income,Other Expenses - Expense,Bank Service Charges - Expense,,0.0,,,,,,,,
Income,Other Expenses - Expense,Cash Tally Over/Under - Expense,,0.0,,,,,,,,
Income,Other Expenses - Expense,Clinicians - Professional Music Group - Expense,,1000.0,,8005 · Clinicians-prof. musician group,505.0,1000.0,710.0,1000.0,-290.0,
Income,Other Expenses - Expense,CPA Fees - Expense,,1000.0,,,,,,,,
Income,Other Expenses - Expense,Credit Card Fees - Expense,,400.0,,8065 · Credit Card Fees,1319.64,1100.0,149.93,1300.0,-1150.07,
Income,Other Expenses - Expense,Directors' Expense - Expense,,1000.0,,,,,,,,
Income,Other Expenses - Expense,Equipment Purchases - Expense,,390.0,,,,,,,,
Income,Other Expenses - Expense,Gifts - Expense,,100.0,,,,,,,,
Income,Other Expenses - Expense,Honor Band / Solo-Ensemble Expense - Expense,,600.0,,,,,,,,
Income,Other Expenses - Expense,Indoor Percussion Expenses - Expense,,0.0,,Total 46000 · Indoor Percussion,15121.89,13476.0,40838.63,43244.0,-2405.3700000000026,"Major scope issue: 2024-25 actuals show indoor percussion activity, but 25-26/26-27 structure has $0."
Income,Other Expenses - Expense,Miscellaneous Expenditures - Expense,,500.0,,8095 · Misc. Expenditures,1057.59,500.0,157.98,1000.0,-842.02,
Income,Other Expenses - Expense,Phyllis Hoing Memorial Scholarship - Expense,,500.0,*should we continue to do this? - student that was awarded scholarship last year has not asked us to send funds to their school,,,,,,,
Income,Other Expenses - Expense,State Registration - MO License - Expense,,11.25,,,,,,,,
Income,Other Expenses - Expense,Subscriptions - Expense,,1210.0,"Boosterhub $1,100; Sams Club $110 - anything else?",8070 · Subscriptions,561.9,1611.0,3100.0,1261.0,1839.0,
Income,Other Expenses - Expense,Transaction Fees - Expense,,0.0,,,,,,,,
Income,Other Expenses - Expense,Trip Expense - Expense,,0.0,,,,,,,,
Income,Other Expenses - Expense,Winter Guard Expenses - Expense,,13081.6,,Total 45000 · WINTER GUARD,15616.48,14950.0,19630.01,18420.0,1210.0099999999984,
Income,Other Expenses - Expense,Winter Guard Drill Design - Expense,,3500.0,,UNMAPPED: 4502 · Drill Design,,,,,,
Income,Other Expenses - Expense,Winter Guard MCCGA/WGI Fees - Expense,,675.0,,,,,,,,
Income,Other Expenses - Expense,Total Other Expenses,,23967.85,,,,,,,,
Income,Other Expenses - Expense,Total Expense,,144270.63,,Total Expense,166570.22,183140.78,169364.13,215111.25,-45747.119999999995,
