section,group,budget_line,proposed_2026_27,budget_2025_26_structure,actual_2025_26_ytd_0429,variance_2025_26_ytd_0429,actual_2024_25,budget_2024_25,variance_2024_25,actual_2023_24,budget_2023_24,budget_note,actuals_comment,story_flag
Income,Programs - Expense,Jazz Band Festival - Expense,,600.0,395.0,-205.0,595.0,400.0,195.0,395.0,400.0,,,
Income,Programs - Expense,MSHSAA - Medals - Expense,,600.0,0.0,-600.0,350.0,600.0,-250.0,419.0,600.0,,,
Income,Programs - Expense,Tuxedo Coat Cleaning - Expense,,500.0,186.0,-314.0,0.0,550.0,-550.0,0.0,200.0,,,
Income,Programs - Expense,Tuxedo Jackets - Expense,,200.0,0.0,-200.0,380.0,0.0,380.0,0.0,0.0,,,
Income,Programs - Expense,Entry Fees/Tickets - Expense,,0.0,,,,,,,,,,
Income,Programs - Expense,Marching Band - Expense,,0.0,,,27191.29,23500.0,3691.290000000001,28107.7,29902.0,,,
Income,Programs - Expense,Bands of America Entry Fee and Parking - Expense,,2300.0,1225.0,-1075.0,490.0,500.0,-10.0,420.0,600.0,,,
Income,Programs - Expense,Charter Busses - Expense,,8000.0,8566.04,566.04,872.85,0.0,872.85,0.0,0.0,,,
Income,Programs - Expense,Drum Major Camp - Expense,,1900.0,0.0,-1900.0,1875.0,1900.0,-25.0,1845.0,1200.0,,,
Income,Programs - Expense,Fall Color Guard Flags and Design - Expense,,4150.0,3570.0,-580.0,325.0,4100.0,-3775.0,9242.68,4075.0,,,
Income,Programs - Expense,Fall Color Guard Uniforms - Expense,,5500.0,5905.46,405.46,325.0,4100.0,-3775.0,9242.68,4075.0,*discuss what $ to give Z Barber as max spend - include in student fees,,
Income,Programs - Expense,Food - Marching Competitions - Expense,,3000.0,3123.09,123.09,2799.07,3000.0,-200.92999999999984,1568.59,3000.0,,,
Income,Programs - Expense,Marching and Guard Gloves - Expense,,450.0,390.63,-59.37,,,,,,,,
Income,Programs - Expense,Marching Competition Uniforms - Expense,,12640.0,14089.5,1449.5,,,,,,*discuss what $ to give Z Barber as max spend - include in student fees,,
Income,Programs - Expense,Marching Festival Fees - Expense,,650.0,650.0,0.0,600.0,1050.0,-450.0,1500.0,1400.0,,,
Income,Programs - Expense,Marching Field Props - Expense,,800.0,797.07,-2.93,2219.1,6000.0,-3780.9,5593.56,3507.0,,,
Income,Programs - Expense,Miscellaneous Marching Expense - Expense,,700.0,667.45,-32.55,,,,,,,,
Income,Programs - Expense,Student Leadership Workshop - Expense,,3750.0,0.0,-3750.0,3027.33,3400.0,-372.6700000000001,5514.03,0.0,,,
Income,Programs - Expense,Student/Staff Show Shirts - Expense,,2000.0,1836.0,-164.0,,,,,,,,
Income,Programs - Expense,Trailer Insurance - Expense,,650.0,683.0,33.0,,,,,,,,
Income,Programs - Expense,Trailer Maintenance - Expense,,2000.0,641.58,-1358.42,7217.66,7000.0,217.65999999999985,1837.14,500.0,,,
Income,Programs - Expense,Trailer Storage - Expense,,1300.0,140.0,-1160.0,1210.0,1300.0,-90.0,1210.0,1350.0,,,
Income,Programs - Expense,Truck Rental and Fuel - Expense,,3000.0,607.86,-2392.14,0.0,0.0,0.0,2272.47,3000.0,,,
Income,Programs - Expense,Uniform Cleaning - Expense,,1000.0,624.0,-376.0,834.0,1200.0,-366.0,803.0,2100.0,,,
Income,Programs - Expense,Total Programs,,108235.0,90913.23,-17321.77,9007.75,11050.0,-2042.25,7402.0,11220.0,,,25-26 material variance
Income,Fundraising - Expense,Fundraising Gaming - Expense,,0.0,,,,,,,,,Compare against actual fundraiser performance; do not use budget as reality.,
Income,Fundraising - Expense,Fundraising Non-gaming - Expense,,10067.78,2674.21,-7393.57,,,,,,,Compare against actual fundraiser performance; do not use budget as reality.,25-26 material variance
Income,Fundraising - Expense,Concessions - Expense,,0.0,,,,,,,,,,
Income,Fundraising - Expense,Holiday Craft and Music Market - Expense,,0.0,237.49,237.49,,,,,,,,25-26 actual exists but budget zero
Income,Fundraising - Expense,Midwest Marching Percussion Classic - Expense,,0.0,4967.85,4967.85,,,,,,,,25-26 actual exists but budget zero
Income,Fundraising - Expense,Trivia Night - Expense,,0.0,692.32,692.32,,,,,,,,25-26 actual exists but budget zero
Income,Fundraising - Expense,Total Fundraising,,10067.78,8571.87,-1495.91,10488.14,78732.13,-68243.99,55139.24,77639.66,,Compare against actual fundraiser performance; do not use budget as reality.,
Income,Merchandise COGS - Expense,BoosterHub Merch - Expense,,0.0,71.59,71.59,,,,,,,,25-26 actual exists but budget zero
Income,Merchandise COGS - Expense,Family Show Shirts - Expense,,2000.0,2447.0,447.0,,,,,,,,
Income,Merchandise COGS - Expense,Total Merchandise COGS,,2000.0,2518.59,518.59,,,,,,,,
Income,Other Expenses - Expense,Bank Service Charges - Expense,,0.0,137.93,137.93,,,,,,,,25-26 actual exists but budget zero
Income,Other Expenses - Expense,Cash Tally Over/Under - Expense,,0.0,,,,,,,,,,
Income,Other Expenses - Expense,Clinicians - Professional Music Group - Expense,,1000.0,1005.0,5.0,710.0,1000.0,-290.0,505.0,1000.0,,,
Income,Other Expenses - Expense,CPA Fees - Expense,,1000.0,906.3,-93.7,,,,,,,,
Income,Other Expenses - Expense,Credit Card Fees - Expense,,400.0,2532.6,2132.6,149.93,1300.0,-1150.07,1319.64,1100.0,,,
Income,Other Expenses - Expense,Directors' Expense - Expense,,1000.0,477.54,-522.46,,,,,,,,
Income,Other Expenses - Expense,Equipment Purchases - Expense,,390.0,0.0,-390.0,,,,,,,,
Income,Other Expenses - Expense,Gifts - Expense,,100.0,0.0,-100.0,,,,,,,,
Income,Other Expenses - Expense,Honor Band / Solo-Ensemble Expense - Expense,,600.0,615.0,15.0,,,,,,,,
Income,Other Expenses - Expense,Indoor Percussion Expenses - Expense,,0.0,4114.8,4114.8,40838.63,43244.0,-2405.3700000000026,15121.89,13476.0,,"Major scope issue: 2024-25 actuals show indoor percussion activity, but 25-26/26-27 structure has $0.",25-26 actual exists but budget zero
Income,Other Expenses - Expense,Miscellaneous Expenditures - Expense,,500.0,875.86,375.86,157.98,1000.0,-842.02,1057.59,500.0,,,
Income,Other Expenses - Expense,Phyllis Hoing Memorial Scholarship - Expense,,500.0,0.0,-500.0,,,,,,*should we continue to do this? - student that was awarded scholarship last year has not asked us to send funds to their school,,
Income,Other Expenses - Expense,State Registration - MO License - Expense,,11.25,10.5,-0.75,,,,,,,,
Income,Other Expenses - Expense,Subscriptions - Expense,,1210.0,1210.0,0.0,3100.0,1261.0,1839.0,561.9,1611.0,"Boosterhub $1,100; Sams Club $110 - anything else?",,
Income,Other Expenses - Expense,Transaction Fees - Expense,,0.0,,,,,,,,,,
Income,Other Expenses - Expense,Trip Expense - Expense,,0.0,112851.33,112851.33,,,,,,,,25-26 actual exists but budget zero; 25-26 material variance; trip/pass-through distorts total picture
Income,Other Expenses - Expense,Winter Guard Expenses - Expense,,13081.6,11585.9,-1495.7,19630.01,18420.0,1210.0099999999984,15616.48,14950.0,,,
Income,Other Expenses - Expense,Winter Guard Drill Design - Expense,,3500.0,3500.0,0.0,,,,,,,,
Income,Other Expenses - Expense,Winter Guard MCCGA/WGI Fees - Expense,,675.0,675.0,0.0,,,,,,,,
Income,Other Expenses - Expense,Total Other Expenses,,23967.85,140497.76,116529.91,,,,,,,,25-26 material variance
Income,Other Expenses - Expense,Total Expense,,144270.63,242501.45,98230.82,169364.13,215111.25,-45747.119999999995,166570.22,183140.78,,,25-26 material variance
Income,25-26 actual-only line,Mum Sales - Income,,0.0,3765.0,3765.0,,,,,,,Added from 2025-26 YTD actuals through 4/29/26,25-26 actual-only line; validate scope/tag
Income,25-26 actual-only line,Other Income - Income,,1440.0,1485.0,45.0,,,,,,,Added from 2025-26 YTD actuals through 4/29/26,25-26 actual-only line; validate scope/tag
Income,25-26 actual-only line,Net Income,,0.0,-9609.95,-9609.95,,,,,,,Added from 2025-26 YTD actuals through 4/29/26,25-26 actual-only line; validate scope/tag
